topicId,rank,docId,filename
3,37,16,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample1_run1.txt
3,38,14,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample8_run1.txt
3,39,13,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run2.txt
3,40,12,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run1.txt
3,41,11,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample6_run2.txt
3,42,10,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample6_run1.txt
3,43,9,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample5_run2.txt
3,44,8,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample5_run1.txt
3,45,7,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run2.txt
3,46,6,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run1.txt
3,47,2,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample2_run1.txt
3,48,1,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample1_run2.txt
4,0,36,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample3_run3.txt
4,1,33,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample2_run3.txt
4,2,28,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample1_run1.txt
4,3,44,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample6_run3.txt
4,4,16,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample1_run1.txt
4,5,30,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample1_run3.txt
4,6,45,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample7_run1.txt
4,7,29,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample1_run2.txt
4,8,0,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample1_run1.txt
4,9,40,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample5_run1.txt
4,10,3,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample2_run2.txt
4,11,46,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample7_run3.txt
4,12,24,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample5_run2.txt
4,13,27,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample8_run2.txt
4,14,13,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run2.txt
4,15,4,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample3_run1.txt
4,16,38,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample4_run2.txt
4,17,21,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample3_run2.txt
4,18,42,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample5_run3.txt
4,19,7,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run2.txt
4,20,22,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample4_run1.txt
4,21,6,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run1.txt
4,22,34,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample3_run1.txt
4,23,32,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample2_run2.txt
4,24,31,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample2_run1.txt
4,25,19,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample2_run2.txt
4,26,5,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample3_run2.txt
4,27,2,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample2_run1.txt
4,28,48,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample8_run3.txt
4,29,47,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample8_run1.txt
4,30,43,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample6_run1.txt
4,31,41,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample5_run2.txt
4,32,39,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample4_run3.txt
4,33,37,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample4_run1.txt
4,34,35,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample3_run2.txt
4,35,26,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample7_run2.txt
4,36,25,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample6_run2.txt
4,37,23,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample4_run2.txt
4,38,20,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample3_run1.txt
4,39,18,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample2_run1.txt
4,40,17,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample1_run2.txt
4,41,15,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample8_run2.txt
4,42,14,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample8_run1.txt
4,43,12,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run1.txt
4,44,11,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample6_run2.txt
4,45,10,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample6_run1.txt
4,46,9,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample5_run2.txt
4,47,8,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample5_run1.txt
4,48,1,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample1_run2.txt
5,0,15,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample8_run2.txt
5,1,21,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample3_run2.txt
5,2,13,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run2.txt
5,3,12,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run1.txt
5,4,4,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample3_run1.txt
5,5,47,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample8_run1.txt
5,6,16,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample1_run1.txt
5,7,7,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run2.txt
5,8,46,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample7_run3.txt
5,9,45,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample7_run1.txt
5,10,40,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample5_run1.txt
5,11,48,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample8_run3.txt
5,12,30,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample1_run3.txt
5,13,31,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample2_run1.txt
5,14,24,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp5_sample5_run2.txt
5,15,39,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp8_sample4_run3.txt
